date,twin,common
01-Jan-1997,4.80504482547983,0.11368088192515
01-Feb-1997,4.85008981223475,0.18523572865122
01-Mar-1997,4.8519672842317,0.187772742709659
01-Apr-1997,4.84021738559545,0.154374122393216
01-May-1997,4.83711391065184,0.164462035439233
01-Jun-1997,4.93406625827807,0.212847771271155
01-Jul-1997,5.00551832760263,0.285484379538686
01-Aug-1997,5.05509428672625,0.307196406733739
01-Sep-1997,5.12835905170189,0.347266730755216
01-Oct-1997,5.13833007406703,0.36766385632491
01-Nov-1997,5.17659019974106,0.403685906109856
01-Dec-1997,5.25510851714428,0.457433287195473
01-Jan-1998,5.33802460903778,0.544887280440683
01-Feb-1998,5.44436233318619,0.614246702070502
01-Mar-1998,5.55972257713189,0.713967077553631
01-Apr-1998,5.66277394459143,0.79631877331243
01-May-1998,5.675326716409,0.788810775140904
01-Jun-1998,5.53714620511429,0.696529627314347
01-Jul-1998,5.42143014957552,0.558355884800783
01-Aug-1998,5.2906914027524,0.4581642423927
01-Sep-1998,5.16858424025272,0.401278584161694
01-Oct-1998,5.2212875018469,0.393209229858397
01-Nov-1998,5.20956486097294,0.407017742221782
01-Dec-1998,5.19023853780019,0.406341866258199
01-Jan-1999,5.16233058897326,0.361092511037997
01-Feb-1999,5.14652525805844,0.345707824412042
01-Mar-1999,5.11010721822239,0.328612323048349
01-Apr-1999,5.05142396267424,0.300436328968619
01-May-1999,5.08330527277304,0.319561812095717
01-Jun-1999,5.11039983587692,0.341607003651133
01-Jul-1999,5.11780559365549,0.390668117664406
01-Aug-1999,5.1871182750816,0.423568791212445
01-Sep-1999,5.17381429331065,0.44053233904659
01-Oct-1999,5.19533885414528,0.455596267967463
01-Nov-1999,5.20942874892727,0.474967525356091
01-Dec-1999,5.27397390377889,0.539076974099096
01-Jan-2000,5.37786665411438,0.649751998249177
01-Feb-2000,5.45994598901058,0.722318175856899
01-Mar-2000,5.49418972931525,0.781913306361551
01-Apr-2000,5.57081326259838,0.845508174186827
01-May-2000,5.57548157743675,0.87655778853295
01-Jun-2000,5.64180959906227,0.887382831065213
01-Jul-2000,5.62733975902664,0.9134908325432
01-Aug-2000,5.63435742933823,0.891187617653232
01-Sep-2000,5.63505080180576,0.861814561883526
01-Oct-2000,5.57701843991903,0.814845314932092
01-Nov-2000,5.49855407648977,0.758394944466362
01-Dec-2000,5.40059232581597,0.671873121997738
01-Jan-2001,5.32476043824113,0.584343069565809
01-Feb-2001,5.23539585372368,0.500712302444512
01-Mar-2001,5.1216509877711,0.392780940294185
01-Apr-2001,4.9993006829098,0.304412227883465
01-May-2001,4.94812113106886,0.214479834797552
01-Jun-2001,4.8840605153792,0.175266971452378
01-Jul-2001,4.79225356372477,0.116340768677013
01-Aug-2001,4.70322224892518,0.0335697399199803
01-Sep-2001,4.60185947767626,-0.0726504229631955
01-Oct-2001,4.42452403681242,-0.231901842959244
01-Nov-2001,4.217605984659,-0.432303227866108
01-Dec-2001,3.97612468255164,-0.622809764173485
01-Jan-2002,3.82808520657759,-0.760462991363478
01-Feb-2002,3.73838355324803,-0.832596536420263
01-Mar-2002,3.70623450085884,-0.875253841351219
01-Apr-2002,3.6141480828558,-0.927967255980435
01-May-2002,3.62517265295213,-0.93143642310431
01-Jun-2002,3.59461255623172,-0.926863112261276
01-Jul-2002,3.53429929290186,-0.937558127854859
01-Aug-2002,3.55003949752644,-0.935728827599489
01-Sep-2002,3.57789782367093,-0.930083878347808
01-Oct-2002,3.56171104501685,-0.908127856604388
01-Nov-2002,3.61026803748877,-0.886134436150105
01-Dec-2002,3.59994054246745,-0.869919682131272
01-Jan-2003,3.55110381656904,-0.871476374386974
01-Feb-2003,3.55082273513556,-0.895304116124689
01-Mar-2003,3.46383273219808,-0.959206749857385
01-Apr-2003,3.37854823403533,-1.01555742271502
01-May-2003,3.35816780638285,-1.06870225391661
01-Jun-2003,3.19687662283521,-1.18255900323689
01-Jul-2003,3.12451840771795,-1.23200521544428
01-Aug-2003,3.14281406271954,-1.23257991346958
01-Sep-2003,3.16467987810211,-1.22078338486909
01-Oct-2003,3.21260447023855,-1.14465083361777
01-Nov-2003,3.2700578367123,-1.09513117682195
01-Dec-2003,3.34714267339076,-1.03095244871625
01-Jan-2004,3.34655055154109,-0.990711908087543
01-Feb-2004,3.39772957522074,-0.965582846581683
01-Mar-2004,3.42983603819443,-0.932281056421712
01-Apr-2004,3.43522565645462,-0.90750507716054
01-May-2004,3.40878979940969,-0.894019310919798
01-Jun-2004,3.39467743530656,-0.902542472658223
01-Jul-2004,3.44813780693903,-0.875531014717814
01-Aug-2004,3.51475654857309,-0.846774507378184
01-Sep-2004,3.50908154640421,-0.832963820437153
01-Oct-2004,3.49734960823385,-0.817209830842458
01-Nov-2004,3.60262077073906,-0.748243056828005
01-Dec-2004,3.69849284373405,-0.651312805160468
01-Jan-2005,3.75299781350375,-0.570504414209292
01-Feb-2005,3.84036351625333,-0.511754294600105
01-Mar-2005,3.88696661197981,-0.459885098806066
01-Apr-2005,3.95820622246266,-0.403653555971999
01-May-2005,3.97338876178218,-0.354804387245571
01-Jun-2005,4.02734338357546,-0.317253918371664
01-Jul-2005,4.01788429146037,-0.289482277140013
01-Aug-2005,3.97683919753317,-0.327240574974
01-Sep-2005,3.95411955985797,-0.365146255121506
01-Oct-2005,3.9081663951401,-0.406098010209878
01-Nov-2005,3.86048795926908,-0.468846408083433
01-Dec-2005,3.81983714973784,-0.472920554492699
01-Jan-2006,3.83960914762024,-0.474586790002377
01-Feb-2006,3.87972251839496,-0.465708393956505
01-Mar-2006,3.92639109536996,-0.410004160491692
01-Apr-2006,3.96922886048735,-0.359007345098728
01-May-2006,4.02001552742818,-0.320669439030375
01-Jun-2006,4.03189149702703,-0.288742533445112
01-Jul-2006,4.07492382707743,-0.263132572256821
01-Aug-2006,4.15777635272347,-0.181026360563489
01-Sep-2006,4.23446903245198,-0.115317701175362
01-Oct-2006,4.29518962712522,-0.0432709422256812
01-Nov-2006,4.35085933245109,-0.00383412037689786
01-Dec-2006,4.33709663881371,-0.00586177475497859
01-Jan-2007,4.31624147985883,-0.0365094454457725
01-Feb-2007,4.26641253202805,-0.0697040490734743
01-Mar-2007,4.24777246729946,-0.0729986118879637
01-Apr-2007,4.24436261419836,-0.0768489624124665
01-May-2007,4.27813125912212,-0.0376219518559241
01-Jun-2007,4.32632149341365,0.00165423272279601
01-Jul-2007,4.35394590355888,0.0336184116602289
01-Aug-2007,4.2967700035421,0.00953932300823437
01-Sep-2007,4.24951639310147,-0.0422042640087469
01-Oct-2007,4.20862725515492,-0.0966994034944823
01-Nov-2007,4.17491269335114,-0.112559782284479
01-Dec-2007,4.14433439757065,-0.159262274869131
01-Jan-2008,4.10900139953928,-0.18637063754274
01-Feb-2008,4.08297408267743,-0.217948176510783
01-Mar-2008,4.01019561713503,-0.285798543010619
01-Apr-2008,3.93381513020667,-0.33948904951187
01-May-2008,3.78104286835234,-0.455898453514696
01-Jun-2008,3.68828287874796,-0.551700393774182
01-Jul-2008,3.53165889702178,-0.720167405515476
01-Aug-2008,3.35011116840551,-0.884784585935784
01-Sep-2008,3.15320769587782,-1.03139530594672
01-Oct-2008,3.00780871426512,-1.2126327217428
01-Nov-2008,2.80541566504161,-1.39274047149676
01-Dec-2008,2.57443660968109,-1.58033110657
01-Jan-2009,2.3466231144907,-1.79096483775124
01-Feb-2009,2.16205624275927,-1.95019878391659
01-Mar-2009,2.03399169239759,-2.0569183052537
01-Apr-2009,1.94243509262133,-2.13534853978118
01-May-2009,1.76716109893839,-2.28651474119122
01-Jun-2009,1.62137287758429,-2.40064357212968
01-Jul-2009,1.5421244148734,-2.45571617609391
01-Aug-2009,1.4606623759901,-2.50861287034975
01-Sep-2009,1.45724078784027,-2.51209522192916
01-Oct-2009,1.45269110814295,-2.50228519445231
01-Nov-2009,1.45661001015358,-2.51229106263635
01-Dec-2009,1.44765648981853,-2.50485865639465
01-Jan-2010,1.49559702977317,-2.44246361630644
01-Feb-2010,1.51077654580205,-2.45071149481156
01-Mar-2010,1.5296736242244,-2.42070426335693
01-Apr-2010,1.56707316298022,-2.35872886053028
01-May-2010,1.55500321381306,-2.33675548570466
01-Jun-2010,1.61306891467071,-2.30110732966394
01-Jul-2010,1.64838517988231,-2.27821398371038
01-Aug-2010,1.67762910898864,-2.21588435738387
01-Sep-2010,1.76659258336073,-2.13280955036354
01-Oct-2010,1.79045093540809,-2.0701380906104
01-Nov-2010,1.8512016269258,-1.95894762580802
01-Dec-2010,1.89037814136284,-1.91991400533392
01-Jan-2011,1.92198918234326,-1.941445818886
01-Feb-2011,1.91311608144252,-1.94671648524205
01-Mar-2011,1.88415463610254,-1.96109068095058
01-Apr-2011,1.89940803927392,-1.9849295236676
01-May-2011,1.89935914017092,-1.92658505641329
01-Jun-2011,1.85073035761782,-1.98167425442005
01-Jul-2011,1.84406830031657,-1.95747838292583
01-Aug-2011,1.84241218012599,-1.99152445197617
01-Sep-2011,1.82873752759296,-1.97139025341914
01-Oct-2011,1.8652150910841,-1.95555422387746
01-Nov-2011,1.87713217235828,-1.91531463597793
01-Dec-2011,1.89139588555587,-1.88417831899167
01-Jan-2012,1.98712185543114,-1.79366786351109
01-Feb-2012,2.03751629417599,-1.72681111975406
01-Mar-2012,2.16208831610675,-1.64123332340679
01-Apr-2012,2.22466196251527,-1.59115367312895
01-May-2012,2.21109888269599,-1.6139915052936
01-Jun-2012,2.22827475768584,-1.59393205053841
01-Jul-2012,2.22335111088655,-1.62532528360576
01-Aug-2012,2.20674232855539,-1.61936712868613
01-Sep-2012,2.21263369295174,-1.62419101280475
01-Oct-2012,2.17970648252795,-1.628824329054
01-Nov-2012,2.15071239962986,-1.66456472702921
01-Dec-2012,2.11185380671759,-1.69689716424949
01-Jan-2013,2.10070302990302,-1.71093276965852
01-Feb-2013,2.10001744665403,-1.70894321768356
01-Mar-2013,2.0788105869322,-1.72082789269714
01-Apr-2013,2.05265267650024,-1.73800426916258
01-May-2013,2.02355186874433,-1.82303260484206
01-Jun-2013,1.96810842497632,-1.86779973278683
01-Jul-2013,1.91887719258119,-1.93058254088097
01-Aug-2013,1.92142106903155,-1.92616938656933
01-Sep-2013,1.95410896045038,-1.90229187047355
01-Oct-2013,2.0528115134856,-1.7943994790105
01-Nov-2013,2.17229418687222,-1.65484156568679
01-Dec-2013,2.29618109716618,-1.54859203869212
01-Jan-2014,2.4051789334921,-1.44574177189105
01-Feb-2014,2.57618864705992,-1.30158525256025
01-Mar-2014,2.73379654648662,-1.1793749925595
01-Apr-2014,2.89710192980175,-1.02078013032924
01-May-2014,3.08283265959764,-0.861230469961455
01-Jun-2014,3.22519795625814,-0.746543755825175
01-Jul-2014,3.28283154806166,-0.670544893268832
01-Aug-2014,3.30417352396918,-0.658283582019625
01-Sep-2014,3.21855451789852,-0.70593707359978
01-Oct-2014,3.13508398567952,-0.794596010105862
01-Nov-2014,2.99950218833645,-0.911701453063546
01-Dec-2014,2.92751043491288,-0.989236216796679
01-Jan-2015,2.86225908169578,-1.07126301746047
01-Feb-2015,2.82554754441917,-1.09943630578941
01-Mar-2015,2.80263029906566,-1.09830097636903
01-Apr-2015,2.79789405597475,-1.12222940881667
01-May-2015,2.8413819404506,-1.06927691990029
01-Jun-2015,2.9734819562872,-0.947200812193745
01-Jul-2015,3.14318623743231,-0.813876887253229
01-Aug-2015,3.34264525334399,-0.676423097939457
01-Sep-2015,3.55706091669861,-0.466910693999411
01-Oct-2015,3.74767595877245,-0.269377306730798
01-Nov-2015,3.91843356755479,-0.0900025667043937
01-Dec-2015,4.03841257158089,-0.00724699480559581
