date,WGT_le,WGT_ae,WGT_de
01-Sep-2005,3.2789824,3.4191387,5.1293292
01-Oct-2005,4.0821996,3.9220712,4.0821996
01-Nov-2005,4.0967441,3.6367645,5.1291332
01-Dec-2005,4.017117,3.4944134,3.1956787
01-Jan-2006,3.8455589,3.7740328,4.5519543
01-Feb-2006,2.9912517,3.4853539,4.5460768
01-Mar-2006,3.7740328,4.1909389,4.0822043
01-Apr-2006,3.9220665,3.6367645,4.3170538
01-May-2006,3.3901551,3.6367645,4.0820446
01-Jun-2006,3.4938018,4.0821996,3.9229515
01-Jul-2006,3.923991,2.8220155,3.4510942
01-Aug-2006,3.923475,4.0821996,4.3485475
01-Sep-2006,3.6304004,4.6328335,4.4300499
01-Oct-2006,3.3901563,3.0719705,4.0823026
01-Nov-2006,4.1962652,3.7467391,5.1291437
01-Dec-2006,3.9916589,5.1951494,3.5091319
01-Jan-2007,4.0631609,3.0077426,5.6570373
01-Feb-2007,3.9431679,3.4868779,4.0820704
01-Mar-2007,4.5855436,3.8246841,5.6089468
01-Apr-2007,3.9220676,3.9229515,4.0821996
01-May-2007,3.5932033,4.6448007,4.6518245
01-Jun-2007,3.9220712,4.0824757,3.9520738
01-Jul-2007,4.0821996,3.9602304,6.0103455
01-Aug-2007,4.7772326,3.2789824,4.0821996
01-Sep-2007,4.2559614,4.2443051,4.8794765
01-Oct-2007,4.0820441,4.9912791,4.2558155
01-Nov-2007,3.9814174,4.6520014,5.2922401
01-Dec-2007,4.2559614,2.9602871,4.2740135
01-Jan-2008,3.5091319,3.602695,3.0046911
01-Feb-2008,4.0821977,5.0957108,4.5120435
01-Mar-2008,4.0021052,4.0821996,4.7830963
01-Apr-2008,3.6367631,5.4074883,5.7337837
01-May-2008,3.9786193,4.8790164,4.2565503
01-Jun-2008,4.2302308,4.7790651,3.7740328
01-Jul-2008,4.2265239,2.5975487,4.2559614
01-Aug-2008,3.3032339,3.9220712,4.4451761
01-Sep-2008,3.1449134,5.0388627,4.4451761
01-Oct-2008,3.5091319,4.4455924,4.2562428
01-Nov-2008,3.5160396,2.9428806,4.3170519
01-Dec-2008,3.1361425,4.1516657,3.4752114
01-Jan-2009,3.2997947,2.466608,3.5716717
01-Feb-2009,2.9852962,4.6097736,2.5317807
01-Mar-2009,2.9602871,2.2599812,3.9223247
01-Apr-2009,2.8170877,2.0201948,4.0265584
01-May-2009,3.9223325,2.4692612,3.0678825
01-Jun-2009,2.5317807,1.0182513,2.5490263
01-Jul-2009,2.9590509,2.5317807,2.3529685
01-Aug-2009,.17683032,2.3530498,2.4129434
01-Sep-2009,1.9048195,2.621932,3.7740328
01-Oct-2009,2.0379183,1.8349138,2.5988166
01-Nov-2009,2.460577,2.2350609,.055137143
01-Dec-2009,.68156379,.95665592,.62765604
01-Jan-2010,1.9802639,1.6564983,1.2909611
01-Feb-2010,1.8429661,0,2.7939382
01-Mar-2010,1.9147692,2.9558802,.33726972
01-Apr-2010,.49833548,2.4692612,2.6668248
01-May-2010,.58651417,.54200882,2.0619287
01-Jun-2010,1.801846,2.0619287,2.5756054
01-Jul-2010,1.8018506,0,2.4691591
01-Aug-2010,1.9802639,1.5839061,2.1152411
01-Sep-2010,1.1701707,1.6529301,2.2988675
01-Oct-2010,.11184873,1.9802639,1.801778
01-Nov-2010,1.8789729,1.8348424,1.36052
01-Dec-2010,1.1560823,1.652933,2.6379576
01-Jan-2011,1.257877,2.2989519,2.3530498
01-Feb-2011,1.1299555,2.4691715,2.7878897
01-Mar-2011,1.5936577,1.1203728,1.9002929
01-Apr-2011,2.2989519,.81442791,1.4388187
01-May-2011,2.021971,.095194951,2.9943845
01-Jun-2011,.74720275,2.955879,2.779763
01-Jul-2011,2.0474808,3.0771658,.59376276
01-Aug-2011,1.2905129,2.7398975,3.0020597
01-Sep-2011,1.6340216,0,1.7521018
01-Oct-2011,1.4388701,2.0619287,2.9795613
01-Nov-2011,2.0202034,2.139117,2.7398975
01-Dec-2011,1.8762276,1.2519813,.68311578
01-Jan-2012,2.4317284,2.0322354,1.7697092
01-Feb-2012,1.6086136,2.7028673,1.4598277
01-Mar-2012,1.3513707,2.5298612,2.6317284
01-Apr-2012,1.9802639,2.9515505,2.597898
01-May-2012,2.0389893,2.6668248,.25244415
01-Jun-2012,2.0024698,3.8489227,2.0906699
01-Jul-2012,2.2727404,0,2.8170877
01-Aug-2012,1.8758928,0,.81236041
01-Sep-2012,2.3590031,2.8986506,2.955879
01-Oct-2012,1.3432989,1.2422568,3.2788711
01-Nov-2012,2.4691715,.99503475,2.6316361
01-Dec-2012,1.9205002,3.019769,2.854847
01-Jan-2013,1.2894619,1.8123456,3.0236599
01-Feb-2013,1.7932391,1.9802628,3.5090044
01-Mar-2013,2.0398962,2.6223228,3.1747591
01-Apr-2013,1.4122022,1.3201499,3.2788711
01-May-2013,1.6456721,2.1978886,2.7650459
01-Jun-2013,1.6529301,1.4815086,2.8169763
01-Jul-2013,2.5441706,2.0335495,2.3123081
01-Aug-2013,1.5456259,3.0767343,2.5431755
01-Sep-2013,1.8708051,2.3894277,2.0619287
01-Oct-2013,2.4453785,1.096905,1.8348405
01-Nov-2013,1.9418098,1.9148816,1.9427419
01-Dec-2013,2.6316464,1.9717642,2.4097552
01-Jan-2014,2.2469699,2.6789303,2.3530498
01-Feb-2014,2.2472856,3.3786998,1.9526427
01-Mar-2014,2.1685886,2.5037439,3.5090044
01-Apr-2014,1.9048195,.70340759,3.030535
01-May-2014,2.06143,2.0202732,2.4690659
01-Jun-2014,2.0478544,1.9368988,2.5966244
01-Jul-2014,1.1173344,1.7699577,2.7973797
01-Aug-2014,1.652926,2.3530498,3.2789824
01-Sep-2014,3.3711078,1.4388701,3.9226024
01-Oct-2014,2.9852962,3.9361088,1.9047406
01-Nov-2014,2.6668248,3.571805,2.4608254
01-Dec-2014,3.1620545,0,3.8533678
01-Jan-2015,3.3445048,1.45988,3.5276992
01-Feb-2015,2.9766848,2.9852962,2.9766848
01-Mar-2015,2.9852962,3.9156678,4.0821972
01-Apr-2015,3.2054026,3.8537014,4.0821996
01-May-2015,2.5316839,2.6668248,3.1526239
01-Jun-2015,3.5091319,2.4533193,2.8987508
01-Jul-2015,2.9868691,3.8839796,2.7398143
01-Aug-2015,2.7499487,3.7738853,1.3388214
01-Sep-2015,2.4097552,3.7850201,3.4884443
01-Oct-2015,2.52932,3.2670767,2.4386864
01-Nov-2015,3.4809384,3.0529246,3.0771658
01-Dec-2015,2.4150426,3.2234137,3.2789824
01-Jan-2016,3.7854633,2.6668248,3.3901551
01-Feb-2016,4.0639482,2.955879,3.6812644
01-Mar-2016,3.4876962,3.4883413,2.9561687
01-Apr-2016,3.7740328,3.1748698,3.3900361
01-May-2016,3.6813996,3.460089,4.0821996
01-Jun-2016,3.6367645,4.369298,3.7039852
01-Jul-2016,3.278981,4.4455924,2.4696298
01-Aug-2016,2.9457231,3.0771658,3.9231775
01-Sep-2016,4.6520014,2.4431198,4.256587
01-Oct-2016,4.0821996,3.9229515,4.4191861
01-Nov-2016,4.2559614,2.4097552,3.8474941
01-Dec-2016,2.8170877,1.9802639,3.9221125
01-Jan-2017,3.0771658,4.1536074,2.9455149
01-Feb-2017,2.9199128,3.2064118,4.9804096
01-Mar-2017,4.2559614,2.3218315,3.5591528
01-Apr-2017,2.9117382,2.9412808,4.2557993
01-May-2017,3.5627217,2.8987536,2.8986506
01-Jun-2017,2.690747,3.2087049,3.8720086
01-Jul-2017,3.6999295,2.4714367,3.5093615
01-Aug-2017,3.6757607,3.9223325,4.4197822
01-Sep-2017,3.9220712,3.4275165,2.8987536
01-Oct-2017,3.2789824,2.8987536,3.2521977
01-Nov-2017,3.207027,3.8129284,3.3797333
01-Dec-2017,2.4692612,3.0771658,3.7738829
01-Jan-2018,3.7985098,4.3802652,2.5975487
01-Feb-2018,3.4905703,1.9802639,3.3901551
01-Mar-2018,4.8009219,2.9563279,4.0957441
01-Apr-2018,3.3901551,3.7740328,2.2884293
01-May-2018,3.626621,2.6636717,3.5930648
01-Jun-2018,3.9221759,4.4182172,3.6366329
01-Jul-2018,3.386456,4.2559614,2.8233612
01-Aug-2018,3.432471,2.1739967,3.5091319
01-Sep-2018,3.7740328,4.0351338,2.8987536
01-Oct-2018,4.0821996,4.6520014,3.9226065
01-Nov-2018,3.0304101,4.2259836,4.8793445
01-Dec-2018,3.2789824,4.8788319,3.2789824
01-Jan-2019,3.9220712,4.0821996,4.0005336
01-Feb-2019,3.4809384,3.0771658,2.6800776
01-Mar-2019,3.8739784,3.1621082,4.1241417
01-Apr-2019,4.0817475,4.0821996,4.7259307
01-May-2019,3.9008822,3.2789824,3.9226024
01-Jun-2019,5.4067221,3.1747622,2.8685184
01-Jul-2019,3.9220712,2.6248226,4.0820527
01-Aug-2019,3.2789824,2.6432276,2.8169916
