date,WGT_lo,WGT_mo,WGT_ho
01-Sep-2005,2.1403944,3.6367645,4.8788319
01-Oct-2005,3.6943455,4.0820704,4.2400699
01-Nov-2005,3.8151808,4.2559614,4.8788319
01-Dec-2005,6.0624623,2.8815565,4.0821996
01-Jan-2006,3.7740328,3.3901551,5.2643733
01-Feb-2006,1.8182389,3.4875345,3.9223247
01-Mar-2006,2.9624667,3.8732047,4.3172174
01-Apr-2006,2.4692612,3.6813972,5.0872374
01-May-2006,1.4888575,3.655863,4.0821996
01-Jun-2006,2.5317824,3.6366274,4.4450126
01-Jul-2006,2.8170898,4.09654,3.5627151
01-Aug-2006,3.8099811,3.9220712,4.4450231
01-Sep-2006,2.5277784,3.6367645,4.8790164
01-Oct-2006,1.3237909,3.5474367,3.9220712
01-Nov-2006,5.1304932,3.6686296,5.5725756
01-Dec-2006,2.9705174,4.4451761,3.6812594
01-Jan-2007,5.535008,4.02739,4.5815816
01-Feb-2007,4.6520014,3.3436782,4.3922935
01-Mar-2007,4.2559614,4.3526268,5.943152
01-Apr-2007,3.9220676,3.9221759,3.923475
01-May-2007,2.9558821,3.9197035,4.1964231
01-Jun-2007,2.9921596,3.6367645,4.7790651
01-Jul-2007,5.150754,4.1321864,5.5096917
01-Aug-2007,4.2559614,4.4116874,4.0820456
01-Sep-2007,3.6367645,3.8565154,5.608726
01-Oct-2007,3.8282151,4.0821996,4.4451761
01-Nov-2007,4.0821996,4.4451761,4.0821953
01-Dec-2007,3.1292183,3.9220712,4.6520014
01-Jan-2008,2.2814691,3.5091319,3.5930648
01-Feb-2008,4.0821996,4.6520014,3.974031
01-Mar-2008,3.5590944,3.4288986,5.6338453
01-Apr-2008,2.9558787,3.9226024,5.8956165
01-May-2008,4.4451761,4.0021052,4.3808861
01-Jun-2008,4.3139505,4.0166044,4.2048283
01-Jul-2008,4.7252865,3.7271359,4.4475584
01-Aug-2008,4.3485069,2.9946125,4.7536888
01-Sep-2008,2.3725884,3.1548357,4.9345846
01-Oct-2008,3.9220676,3.3393493,4.6520014
01-Nov-2008,2.9558852,3.4501462,3.9863291
01-Dec-2008,2.9852962,3.1361425,3.8739784
01-Jan-2009,2.9652455,3.4739175,3.0770421
01-Feb-2009,3.0305321,2.580786,3.6122301
01-Mar-2009,2.0873728,2.9413903,3.9083164
01-Apr-2009,2.2272635,2.7934778,3.7868063
01-May-2009,3.3901575,3.3228738,3.6366274
01-Jun-2009,1.9802661,2.8071992,1.9802628
01-Jul-2009,4.1725917,2.2472856,3.0304132
01-Aug-2009,0,.45351723,2.5316763
01-Sep-2009,3.1498637,1.6529301,3.0770681
01-Oct-2009,1.7819054,2.0379183,2.8820438
01-Nov-2009,2.8698201,1.9944818,1.5749143
01-Dec-2009,2.1202221,.53991413,.52249461
01-Jan-2010,2.9852962,1.2578216,1.7391742
01-Feb-2010,1.3889099,2.4691715,1.705598
01-Mar-2010,1.9127443,1.9147692,1.2909611
01-Apr-2010,1.3562979,.77542388,2.4292707
01-May-2010,2.0129681,0,2.506777
01-Jun-2010,0,2.0979805,2.2149279
01-Jul-2010,0,1.8017869,2.4692612
01-Aug-2010,1.2277213,1.3025602,2.5975487
01-Sep-2010,1.2552454,1.3793287,2.1205096
01-Oct-2010,.42847082,.41905287,1.6461262
01-Nov-2010,.79694426,2.2756965,1.0098441
01-Dec-2010,0,1.4503019,2.5981276
01-Jan-2011,.053777479,1.8868467,2.4692612
01-Feb-2011,.49480745,1.4849753,2.6447172
01-Mar-2011,.6779713,1.3000858,2.1978886
01-Apr-2011,1.2422472,2.0713034,1.8349138
01-May-2011,0,2.0693455,3.1498637
01-Jun-2011,.86836612,1.2987183,2.2814691
01-Jul-2011,.69930619,2.7289538,.95454401
01-Aug-2011,.00087619759,2.0202687,3.2789824
01-Sep-2011,0,2.0619287,1.9042528
01-Oct-2011,1.1834503,1.6529301,2.9558802
01-Nov-2011,1.7251787,2.1961067,2.5312448
01-Dec-2011,1.2716669,2.1394539,.40080369
01-Jan-2012,1.9418025,2.5975487,1.7746141
01-Feb-2012,0,2.3122394,2.2472856
