date,WGT_pac,WGT_esc,WGT_wsc,WGT_mnt,WGT_nen,WGT_sat,WGT_wnc,WGT_enc,WGT_mat
01-Aug-2000,5.7241373,4.8202057,4.8790164,5.1293278,5.7156405,5.3107915,5.0655813,5.4067221,5.4941082
01-Sep-2000,6.276228,6.1557837,5.8848791,6.8992872,4.0546122,4.779067,6.8992872,3.6367645,5.2813282
01-Oct-2000,5.8488436,7.4107971,5.6086965,4.8467693,4.7950163,7.4105129,4.5403924,5.0814948,4.5460792
01-Nov-2000,6.720871,4.8790164,4.1621695,5.443522,7.2320633,5.0124407,4.3825512,6.1613717,7.4107952
01-Dec-2000,4.2559614,5.9898138,4.8790164,3.7740328,4.2559614,6.8990326,5.0010419,6.2698617,4.5120463
01-Jan-2001,5.7817445,3.9045715,2.5316763,7.4105129,5.7158413,7.8893971,5.310986,4.7252884,4.0821996
01-Feb-2001,7.4107971,4.5460725,4.4082484,5.7158413,5.7158413,5.3107915,5.4067221,4.8790164,5.7671304
01-Mar-2001,7.3025136,5.1293292,4.5462375,4.9871807,6.2437615,3.9220712,5.8848753,5.0750799,4.2167182
01-Apr-2001,6.0622292,5.8268852,7.4107971,6.4567609,5.5059776,4.860043,3.5221357,4.5947852,6.0624623
01-May-2001,6.8990455,3.2789793,5.9899721,3.9849215,5.866785,4.7628002,5.5569849,4.4451761,4.6520014
01-Jun-2001,5.7763834,6.0064206,4.7750673,5.6695328,6.8992872,5.7158413,4.8788271,4.7162261,6.6249385
01-Jul-2001,4.2048283,6.4538522,7.4533119,5.9431548,6.0578117,5.6073084,4.5120416,6.2520356,3.735575
01-Aug-2001,5.1293292,2.5310316,5.4067221,3.9226024,6.8992872,5.6466594,3.9220712,6.4542809,4.8790164
01-Sep-2001,4.4417095,8.0042706,7.4107971,5.3540783,4.5462413,4.2806692,5.0796947,4.2559614,2.974194
01-Oct-2001,4.8790121,6.4538522,5.7156329,6.4540348,3.922071,4.5985069,4.7259307,5.1293292,5.1293292
01-Nov-2001,5.7158413,3.1304605,7.7355108,5.4067221,3.6367645,3.7740328,4.2711077,5.9269466,4.0821996
01-Dec-2001,6.8992872,1.7940414,4.3523097,3.6367645,6.8992872,4.0819411,3.1548357,4.4152093,6.4538522
01-Jan-2002,5.5569849,2.9756911,5.5569849,5.1168294,4.2562428,4.8788319,3.7039852,4.1022964,5.5884447
01-Feb-2002,5.9716926,3.4452765,4.8553085,3.0304101,9.2314701,4.4550862,2.4692612,3.9705327,3.9220712
01-Mar-2002,4.7343245,5.3540783,2.8425467,4.0820651,6.2838492,4.4072194,5.1293292,3.390152,4.1964226
01-Apr-2002,7.696104,5.5089974,2.5277796,4.7785306,4.000411,4.6520014,6.0624623,3.2788711,2.1978114
01-May-2002,5.7158413,2.5988166,4.2559614,5.7158413,4.8971267,3.2789824,4.4451761,4.2820044,5.0585427
01-Jun-2002,5.6593676,2.1978908,5.0325036,2.7212539,3.125953,3.9220698,4.2559614,5.1293292,3.7740328
01-Jul-2002,4.5815816,4.5460768,3.9226024,4.0821996,3.8218036,4.0821996,3.7740328,3.1748698,3.5091319
01-Aug-2002,3.9226024,5.3107915,4.2559614,5.7166386,4.8790164,4.9291244,3.0305369,4.9896922,3.571805
01-Sep-2002,3.9229515,6.5106521,3.488728,3.6861606,4.5462375,2.247288,3.2588792,3.3749006,3.6855106
01-Oct-2002,3.73558,4.0821953,3.7674847,5.3481178,3.5091319,2.1506219,4.3802652,3.3901551,3.9220712
01-Nov-2002,4.0821996,1.5267434,1.5045996,4.1671348,.023385152,3.6749482,3.2088315,3.6367645,2.8979025
01-Dec-2002,5.4829769,2.9558806,2.9558794,5.827692,3.6367645,2.1506205,4.8790121,3.476289,3.5120673
01-Jan-2003,4.5983472,2.5975463,4.0821996,4.0491362,5.8942561,3.9050498,3.9409218,3.7076142,3.9220712
01-Feb-2003,5.1293292,4.4700136,2.7194002,3.6367645,4.0821996,3.0771658,3.8897669,3.4401381,3.9220707
01-Mar-2003,4.2559614,2.9262657,1.5268894,3.9229515,1.390395,3.8166368,3.4938018,2.9766848,3.7740328
01-Apr-2003,3.0771658,4.8009219,4.0421906,5.2304378,3.7740328,2.4692612,3.0771136,3.5411978,3.7740328
01-May-2003,4.7146764,5.1725979,3.4421656,2.6316361,4.2559614,2.9766848,4.2761841,3.2789824,4.8790164
01-Jun-2003,3.5091319,5.2123199,4.2559614,2.7398975,3.1748698,3.1956787,3.7919197,3.4033463,3.1313682
01-Jul-2003,4.0920758,4.9331112,.16953783,3.7738853,4.4451761,2.7549953,4.0296865,3.9226024,2.9386253
01-Aug-2003,3.0770495,4.2056155,5.1293292,4.4451761,3.6367645,2.9766848,3.4466944,3.3396037,3.021378
01-Sep-2003,3.3248918,4.8009157,3.3900361,3.2789824,1.652926,2.8987556,3.9513936,2.4896638,4.4451761
01-Oct-2003,2.6157286,3.7271359,2.8494568,4.2559614,3.1914184,5.1058064,2.7476857,3.2421763,3.4912336
01-Nov-2003,3.5627205,2.1828949,2.9852962,4.7165489,3.2985182,2.9836195,2.9558852,3.0771658,2.6668248
01-Dec-2003,3.0771658,2.1978908,2.8170877,3.9220738,2.4901686,3.9223261,3.7039816,3.3901551,2.4326317
01-Jan-2004,4.095922,3.9452848,4.4451761,2.5975523,3.9007154,4.0388093,3.6823609,2.5540795,3.408973
01-Feb-2004,2.8168607,4.6520033,4.2559614,3.3900375,3.4887226,3.9226024,3.5065155,2.5511603,3.7740328
01-Mar-2004,3.5091319,2.8170877,1.9802583,3.7039852,3.6367645,3.3522692,3.1026275,2.7398975,3.9220676
01-Apr-2004,2.197892,4.4451761,2.4903417,3.3901551,2.8170877,2.5317783,4.6520014,3.0459208,4.3757029
01-May-2004,4.0821996,2.4691703,3.3663735,2.5133133,4.0821996,4.0821996,3.0767357,3.2789824,4.8665147
01-Jun-2004,3.9033973,5.7926836,3.9220712,.27739021,2.5317783,.029901713,3.8290918,3.5098293,2.3788848
01-Jul-2004,3.5091319,3.7096243,3.7483084,3.7740328,4.2559614,3.6367645,3.3901551,3.2203109,5.0008478
01-Aug-2004,3.0239918,2.8217652,3.9258258,3.9228241,3.1146731,3.9220738,3.6643445,4.0826654,.83682817
01-Sep-2004,3.7745221,1.7391742,3.7740328,3.7740328,2.6743267,4.8790164,4.8790164,3.9220676,3.8631396
01-Oct-2004,4.0821996,4.0821967,4.7091613,3.2789824,4.1962638,3.1869166,4.1132984,2.9323635,1.8348405
01-Nov-2004,2.1276622,.44349545,1.5447166,4.4378686,3.1657276,3.930414,4.2559614,3.9280016,4.4451761
01-Dec-2004,3.9226077,2.5975487,2.4960122,3.7740383,5.1293292,2.1739967,4.4016881,2.9852962,1.9386696
01-Jan-2005,3.7046304,2.8175843,3.677923,3.0305321,3.9226077,4.2997804,5.1304903,3.6367645,3.9224336
01-Feb-2005,3.6812594,2.5310278,3.6367645,3.8221238,1.7348657,3.9260726,3.4401395,2.9108036,2.5316763
01-Mar-2005,3.9226024,2.8330507,3.7740328,4.4451761,3.6046431,2.7065227,1.8018506,4.6518335,2.964473
01-Apr-2005,3.1965327,3.8985424,4.0820484,5.0293393,2.9600503,4.4451761,2.7398975,3.7041278,2.9852099
01-May-2005,2.5317783,2.1930718,2.2635174,4.0820704,4.4451761,2.7908716,3.1177018,3.9102819,3.9226077
01-Jun-2005,2.1655741,3.1861155,2.9705174,3.2789824,6.4538522,4.6304569,4.6518335,4.445076,4.0004015
01-Jul-2005,3.3901551,3.1175601,2.8710124,6.0624623,5.0715179,4.3802652,4.5768437,3.7584815,4.6520014
01-Aug-2005,4.4451761,2.9558806,4.4482164,4.2559614,6.4552932,3.036056,3.6367645,2.690747,3.9229515
01-Sep-2005,3.5702245,5.8838716,3.6367645,3.365351,4.2559614,3.4079344,5.4065604,2.5316763,3.1748698
01-Oct-2005,3.6910374,4.5612297,4.0821996,4.5883584,3.9220712,4.499732,3.9336336,3.6813996,4.8792677
01-Nov-2005,4.1241479,3.1923456,4.4451761,5.7158413,4.8788319,5.4809761,4.0820704,3.5091319,4.4766293
01-Dec-2005,3.922332,0,4.6520014,3.2857199,4.1158075,3.6717584,4.0897093,2.9852962,4.1261215
01-Jan-2006,2.9852962,2.3810625,4.8797359,4.2559614,4.879015,6.1087708,4.0821996,2.9448996,4.9335885
01-Feb-2006,3.0816674,1.0657268,3.6366274,3.6539922,2.5975487,4.1823602,3.8251183,2.8721101,4.0821133
01-Mar-2006,4.3485112,3.8159151,6.8992872,3.9222188,3.0767319,3.9220712,4.5383048,3.0978787,3.5091319
01-Apr-2006,3.2047999,6.9385481,4.2222114,4.4451761,3.4353168,4.8797359,3.4158905,3.6813972,3.125953
01-May-2006,4.4549146,3.2789793,3.4191406,3.5211949,3.5091319,3.8469806,3.0771658,3.9226077,3.9220676
01-Jun-2006,3.3487008,4.0821996,4.7259307,5.1959777,3.0771658,2.8170111,3.2789824,3.4458299,4.2559614
01-Jul-2006,3.9226024,4.3485069,4.2480316,5.4067221,2.5316763,5.7156405,3.077481,3.2789824,2.8585947
01-Aug-2006,3.9220712,0,5.4067221,3.9220712,3.6367645,5.1293273,3.1671371,3.9520738,4.7091579
01-Sep-2006,3.523406,3.9229515,4.765574,3.3685451,2.7868924,4.8790164,2.7398975,4.0820608,5.6851001
01-Oct-2006,3.1329358,3.5474367,2.6072268,4.6280732,3.2088335,3.4143872,4.7475224,4.3584137,2.0852501
01-Nov-2006,4.2559614,7.4105158,4.960413,3.9220676,5.0241194,4.6950369,4.8790164,3.1322505,4.688354
01-Dec-2006,4.4451761,3.7740328,6.5382757,5.7158413,4.4451761,3.7740328,2.7398975,3.1747591,3.0459192
01-Jan-2007,4.4757938,2.4292707,5.4067221,5.9757376,5.1293292,4.0821996,5.7622886,3.4401464,4.8790164
01-Feb-2007,5.3540783,.85646272,3.5091319,4.5330286,4.3922935,5.2643733,2.8170021,3.3335228,3.3900361
01-Mar-2007,6.4538522,6.4538522,5.4067221,5.7410874,2.9852962,3.7740328,3.5718153,2.9368424,6.6083584
01-Apr-2007,3.5624526,0,2.9766796,4.0610914,3.2789824,5.7158413,4.7108059,4.3083634,3.6904557
01-May-2007,5.0135813,3.7740328,2.8170891,4.9120655,4.348361,2.9558821,4.5646091,3.571805,3.658947
01-Jun-2007,5.5316434,2.8710079,5.2446461,5.1959753,5.8268895,2.4692612,3.7139587,3.9220712,3.3901551
01-Jul-2007,4.3933535,3.7729173,4.8790164,5.2509937,2.8162615,7.8786154,4.3485112,3.9220676,4.7790632
01-Aug-2007,5.5854197,3.9239919,5.7158413,5.6053309,3.9221759,4.8353195,3.9130332,2.9683223,3.5093615
01-Sep-2007,5.1300502,7.8450227,7.4107971,5.6027751,2.4097552,4.4451761,3.9226077,3.5647399,1.8349121
01-Oct-2007,5.2988005,4.0206385,2.8986492,6.8992872,4.9480042,5.4067221,3.4786084,2.2732439,4.4451718
01-Nov-2007,6.4538522,3.9220712,5.9144783,6.4327364,5.5567799,3.9145236,2.7398975,4.4951453,4.0821996
01-Dec-2007,5.2920265,3.636761,5.8840499,2.5975487,2.9503882,3.9231775,3.6367593,5.034513,1.9802639
01-Jan-2008,6.4538522,.7717073,4.273097,3.9229515,3.8719823,2.2694933,3.7740328,2.6316464,3.7876492
01-Feb-2008,4.8790164,4.1210203,2.5316796,2.6317282,4.1385217,5.2446461,3.7740328,5.0430856,3.5505407
01-Mar-2008,4.6520014,4.6520014,3.9226024,4.879015,3.5868332,4.6520014,4.6158633,4.2374554,3.6581507
01-Apr-2008,5.0509892,2.8987536,5.1293292,4.0004015,5.7569866,3.5627217,2.8586781,4.8790164,3.7041295
01-May-2008,4.3483644,3.0771658,9.5632181,3.9220712,1.0043775,4.6520014,5.0378342,3.0410054,4.2565503
01-Jun-2008,5.2490158,3.8714578,4.0974088,5.4622946,3.09022,4.2550859,4.0415106,2.8170877,5.9431596
01-Jul-2008,5.7144794,6.0624623,4.8290277,3.8434141,3.9220712,3.9226055,4.0821996,2.6316464,3.6424065
01-Aug-2008,4.6189485,2.8710124,5.818192,2.9354725,3.9499607,2.8170877,3.9220712,3.2395594,4.3015728
01-Sep-2008,4.2559614,3.7899337,4.5462332,3.9220712,3.1893313,3.0305321,3.2789812,3.9220712,4.0821996
01-Oct-2008,2.5310259,3.0771658,5.4584246,3.6627574,5.4456158,3.5091307,3.9229496,4.1672697,5.2345433
01-Nov-2008,3.5091319,2.4800699,3.2789824,3.6366253,3.4876962,3.9224277,3.9111137,3.6813972,3.8702314
01-Dec-2008,4.4451761,4.8790164,3.9220712,8.0969038,3.9221692,0,3.3901551,2.9852962,2.3530498
01-Jan-2009,4.5677581,3.006417,4.6520014,5.1285782,2.6668277,0,4.5120416,2.5317824,3.6370108
01-Feb-2009,3.2846496,0,4.0820651,0,2.9952309,4.2724886,3.2789824,2.7402954,2.4692612
01-Mar-2009,2.1506205,3.7254968,3.3673215,3.0077426,4.2559614,1.94224,2.3432896,3.1865799,3.9223247
01-Apr-2009,2.9852962,1.6806511,4.0824275,3.2789843,2.9500666,4.4951453,2.988169,2.6456571,2.4990695
01-May-2009,3.4066498,3.9221759,5.340076,3.7213671,0,4.08285,3.4238756,2.5317807,3.2788727
01-Jun-2009,2.2472117,1.5750165,3.7738853,2.8987536,4.0822001,0,3.6375897,2.1983888,0
01-Jul-2009,1.3967255,1.7336895,4.0827837,1.2696806,3.4334733,3.5093601,3.4035759,2.9590509,2.5975487
01-Aug-2009,1.488861,.92166704,2.6600688,1.1173344,.96665508,0,2.6579611,.99503213,2.8417134
01-Sep-2009,1.494534,4.4152093,2.937458,.88626647,2.3530507,2.4226196,2.1202221,1.9231343,3.2789824
01-Oct-2009,0,3.6367645,2.6646013,2.0202687,1.0050292,2.4691715,2.5316763,2.8618793,3.5474367
01-Nov-2009,.56685907,.020794816,1.2578782,1.9570097,1.3025602,2.6050651,2.0595276,2.6248226,1.9047406
01-Dec-2009,0,0,1.3423008,1.2959098,0,1.4814547,1.3605652,.68156379,0
01-Jan-2010,1.3986242,1.2909611,1.2068957,.93771207,3.390033,1.4388738,2.4692612,.50125694,3.3901551
01-Feb-2010,0,0,3.7738853,.55272901,2.0202005,1.8429661,2.4097528,1.2422472,3.2948456
