date_monthly,WGT_cmi,WGT_ehi,WGT_fpi,WGT_lhi,WGT_mni,WGT_pai,WGT_tti
22-May-1961,7.7647634,7.8131557,4.1715755,2.430618,2.6763585,4.493639,6.0989666
23-May-1961,9.6530008,6.0364203,4.2811236,4.2106872,5.5358839,6.7441473,5.2178359
24-May-1961,7.0275383,5.1987824,7.5895276,-2.6958635,4.3419466,3.9323757,3.8127422
25-May-1961,3.7017083,6.4006085,4.4968395,-.85236794,2.3462133,6.7183256,4.9332695
26-May-1961,8.6846828,6.8525724,4.9429865,4.1774249,3.5549691,6.3635006,7.583838
27-May-1961,4.814383,2.9111543,3.4150221,1.6151011,4.025877,3.588625,3.3308105
28-May-1961,1.1612633,6.1352448,5.0999413,2.8833866,3.7791085,7.7575722,5.3664994
29-May-1961,5.2258787,5.2366652,3.8047211,-1.9520581,.78762287,9.5069408,5.0011411
30-May-1961,5.1391988,6.0594983,2.7141287,2.3444932,2.2647531,5.2619538,5.2676888
31-May-1961,4.4353399,6.5021253,5.8264923,8.1777,4.2529392,8.5138664,4.2327213
01-Jun-1961,.50944906,6.4136329,5.8689322,-.027067663,4.4401207,3.7499762,3.7397785
02-Jun-1961,3.2058003,4.6196537,5.3132524,1.0713137,3.5602417,3.8768957,3.9188147
03-Jun-1961,8.5672951,6.1064558,5.6954055,2.3087652,4.2549372,8.2368011,4.138082
04-Jun-1961,2.7731392,4.8060341,7.7570434,2.1136036,4.9040813,4.9859586,3.7864351
05-Jun-1961,3.3817737,2.9234989,5.2235231,-3.3444719,4.6379976,4.3309236,5.5307369
06-Jun-1961,7.1980643,3.4437981,4.6611862,.91184175,4.7861309,8.2052908,4.1402068
07-Jun-1961,2.7763641,6.896101,6.4786549,.36108944,4.7326312,5.9785948,2.3597994
08-Jun-1961,6.1265731,5.6068559,3.4821668,-3.5403233,5.8995242,.50482583,3.8686528
09-Jun-1961,4.5048957,5.8437386,6.4615383,4.8439298,3.5720854,5.1924043,4.4740925
10-Jun-1961,9.4465981,5.3944392,4.267406,3.003072,2.9009666,4.1526256,2.4566381
11-Jun-1961,4.925127,7.7956109,1.2319601,2.9373276,4.8664842,7.5171251,3.8685799
12-Jun-1961,3.7888148,4.1093173,5.966835,7.3548183,4.1488085,7.1514173,6.116199
13-Jun-1961,4.983964,4.8520432,6.1152768,6.330647,4.3442335,5.580852,4.1112165
14-Jun-1961,7.3051095,3.8567452,2.5003948,-.52110565,4.892952,5.1418591,4.4609871
15-Jun-1961,3.5519345,7.0822225,3.1325395,5.5031762,2.6989582,7.8481326,3.3398335
16-Jun-1961,5.96698,4.1863556,7.1050005,3.2100086,3.458204,5.287313,4.8053041
17-Jun-1961,4.0997496,6.7302203,6.7601581,.51389474,4.5957184,6.1473098,2.2542202
18-Jun-1961,5.2376938,4.7400594,5.5368085,5.3744488,4.1564808,9.2509441,5.7424612
19-Jun-1961,5.6002717,3.89766,7.4142532,2.5223577,4.1992474,7.1190486,4.2700438
20-Jun-1961,7.7604799,6.8300409,4.9377465,4.9066586,7.6839218,9.0881252,5.6058178
21-Jun-1961,8.2607403,4.2606153,5.3500247,6.0213642,1.5412854,7.0065041,3.3628345
22-Jun-1961,6.4794688,7.515295,5.5033813,-.89870304,2.3175249,7.2618442,3.7430663
23-Jun-1961,2.1696768,5.16435,4.5860624,-3.4788597,3.1128106,2.9372995,3.3369863
24-Jun-1961,5.039022,5.8735008,4.7494764,3.6508365,7.9477081,3.0075302,6.6013651
25-Jun-1961,4.9557652,3.0816288,6.0053668,-1.8639184,4.5978556,6.4769034,8.3959446
26-Jun-1961,7.2053146,4.7896008,9.0767412,4.956552,3.6223001,4.3897099,4.9671197
27-Jun-1961,8.7853403,5.0156775,4.8521419,-1.1680831,6.6673331,5.4047141,4.0456686
28-Jun-1961,.43134406,6.855124,7.7812076,2.4598098,2.5932021,.93074036,5.3353686
29-Jun-1961,6.414577,6.2491693,5.787014,-.91123301,3.7639008,7.8049297,1.4386497
30-Jun-1961,5.7687359,3.2539434,6.1087232,6.0343637,6.6823006,8.0634451,4.6297569
01-Jul-1961,7.6953506,5.5452929,5.7239866,.091924705,8.5495768,6.519896,4.4212484
02-Jul-1961,12.029217,6.612484,3.4878387,2.9585872,2.4273479,4.938097,5.8519421
03-Jul-1961,9.6137609,5.595468,8.7625351,1.7287686,3.3382308,2.3254921,6.2464066
04-Jul-1961,4.3567295,4.8626666,5.8884406,-.021735899,6.8806152,7.2132535,5.607636
05-Jul-1961,.50958067,5.862659,6.1459255,8.3164721,2.7318735,5.060051,3.4070258
06-Jul-1961,8.181797,6.3890843,7.9088192,.92568433,7.7582374,4.2761002,5.2517529
07-Jul-1961,3.1556609,3.7280097,6.0603933,.79028511,5.52139,2.889466,5.3398542
08-Jul-1961,3.9245613,6.2981377,6.623333,4.0988464,5.0781946,2.2728596,5.5756121
09-Jul-1961,7.2700124,6.1476817,6.5647016,3.6232185,2.7884464,-.85512358,7.494103
10-Jul-1961,14.022706,2.6782718,8.8422489,4.2569876,4.3398147,3.3029637,3.6161242
11-Jul-1961,4.8451967,5.6821022,5.3679762,6.1042204,6.5001202,6.8647223,3.4085386
12-Jul-1961,9.0087795,.70346522,6.1332045,.45059979,3.0541515,10.918156,5.1477075
13-Jul-1961,6.5432587,8.0356188,3.6880178,4.2869811,5.8337941,6.0955186,5.9409361
14-Jul-1961,6.9923072,6.2181058,3.7483811,1.2071908,4.7041707,10.356759,5.1987839
15-Jul-1961,5.2685599,3.0001862,5.0231333,-1.2839855,3.7619581,2.4754753,4.4172239
16-Jul-1961,3.4689484,6.9108992,6.9382901,8.089551,7.021553,3.5280147,3.8503995
17-Jul-1961,5.8534865,2.9922152,5.7735801,6.7808003,6.6926212,9.6578999,5.5971808
18-Jul-1961,10.641155,5.6616211,7.0110016,5.6706772,5.4258447,5.2812004,6.0600772
